transaction_id,year,transaction_time,Day_Shifts,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue_generated
36,2025,8:58:55,Morning,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3
37,2025,9:00:12,Morning,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4
38,2025,9:00:24,Morning,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
39,2025,9:07:13,Morning,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3
40,2025,9:08:09,Morning,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,6
41,2025,9:08:13,Morning,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3
42,2025,9:10:30,Morning,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
43,2025,9:10:30,Morning,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
44,2025,9:11:06,Morning,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
45,2025,9:11:06,Morning,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3
46,2025,9:13:01,Morning,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5
47,2025,9:13:15,Morning,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
48,2025,9:14:16,Morning,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5
49,2025,9:14:17,Morning,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
50,2025,9:14:25,Morning,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5
51,2025,9:14:41,Morning,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,3
52,2025,9:15:09,Morning,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6
53,2025,9:15:13,Morning,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6
54,2025,9:19:21,Morning,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
55,2025,9:19:26,Morning,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
56,2025,9:21:08,Morning,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75
57,2025,9:22:17,Morning,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3
58,2025,9:22:46,Morning,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45
59,2025,9:29:56,Morning,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
60,2025,9:29:56,Morning,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5
61,2025,9:29:57,Morning,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3
62,2025,9:34:17,Morning,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5
63,2025,9:40:13,Morning,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25
64,2025,9:41:22,Morning,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6
65,2025,9:41:22,Morning,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
66,2025,9:44:20,Morning,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5
67,2025,9:44:46,Morning,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3
68,2025,9:46:46,Morning,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6
69,2025,9:47:40,Morning,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
70,2025,9:50:44,Morning,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,6
71,2025,9:50:44,Morning,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25
72,2025,9:52:58,Morning,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5
73,2025,9:53:28,Morning,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3
74,2025,9:53:44,Morning,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
75,2025,9:53:44,Morning,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25
76,2025,9:53:49,Morning,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
77,2025,9:54:46,Morning,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
78,2025,9:55:16,Morning,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6
79,2025,9:56:30,Morning,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2
80,2025,10:00:39,Morning,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6
81,2025,10:03:55,Morning,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
82,2025,10:14:49,Morning,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3
83,2025,10:14:49,Morning,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
84,2025,10:16:30,Morning,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6
85,2025,10:16:33,Morning,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
86,2025,10:18:14,Morning,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5
87,2025,10:18:52,Morning,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
88,2025,10:19:42,Morning,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5
89,2025,10:24:19,Morning,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
90,2025,10:25:22,Morning,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
91,2025,10:25:45,Morning,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7
92,2025,10:25:45,Morning,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5
93,2025,10:27:48,Morning,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6
94,2025,10:30:07,Morning,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
95,2025,10:30:07,Morning,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25
96,2025,10:35:47,Morning,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
97,2025,10:41:53,Morning,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
98,2025,10:47:53,Morning,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
99,2025,10:49:13,Morning,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6
100,2025,10:49:51,Morning,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5
101,2025,10:51:17,Morning,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3
102,2025,10:52:44,Morning,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5
103,2025,10:52:44,Morning,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75
104,2025,10:56:14,Morning,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75
105,2025,10:56:14,Morning,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5
106,2025,11:01:48,Morning,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2
107,2025,11:01:58,Morning,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75
108,2025,11:01:58,Morning,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
109,2025,11:03:25,Morning,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6
110,2025,11:03:25,Morning,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
111,2025,11:04:32,Morning,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5
112,2025,11:08:11,Morning,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
113,2025,11:08:59,Morning,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,6
114,2025,11:09:01,Morning,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
115,2025,11:10:21,Morning,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3
116,2025,11:10:21,Morning,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
117,2025,11:10:58,Morning,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5
118,2025,11:12:29,Morning,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3
119,2025,11:16:02,Morning,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,6
120,2025,11:21:00,Morning,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5
121,2025,11:21:04,Morning,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6
122,2025,11:21:14,Morning,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
123,2025,11:23:01,Morning,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2
124,2025,11:23:43,Morning,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
125,2025,11:23:43,Morning,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3
126,2025,11:25:35,Morning,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6
127,2025,11:25:37,Morning,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
128,2025,11:28:15,Morning,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5
129,2025,11:28:29,Morning,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7
130,2025,11:29:25,Morning,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
131,2025,11:29:57,Morning,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
132,2025,11:29:57,Morning,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
133,2025,11:30:22,Morning,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
134,2025,11:31:35,Morning,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3
135,2025,11:31:43,Morning,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,6
136,2025,11:31:43,Morning,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25
137,2025,11:31:53,Morning,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5
138,2025,11:31:53,Morning,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
139,2025,11:39:14,Morning,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
140,2025,11:39:14,Morning,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
141,2025,11:40:26,Morning,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5
142,2025,11:43:57,Morning,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
143,2025,11:44:09,Morning,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75
144,2025,11:47:13,Morning,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3
145,2025,11:48:56,Morning,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5
146,2025,11:49:42,Morning,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
147,2025,11:49:42,Morning,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25
148,2025,11:50:16,Morning,2,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg,6
149,2025,11:50:23,Morning,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
150,2025,11:50:58,Morning,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6
151,2025,11:51:30,Morning,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7
152,2025,11:52:31,Morning,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1
153,2025,11:57:17,Morning,2,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot,6
154,2025,11:57:59,Morning,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5
155,2025,11:57:59,Morning,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
156,2025,11:58:15,Morning,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
157,2025,12:00:20,Afternoon,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5
158,2025,12:01:00,Afternoon,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6
159,2025,12:01:20,Afternoon,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
160,2025,12:01:20,Afternoon,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
161,2025,12:03:09,Afternoon,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75
162,2025,12:03:38,Afternoon,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3
163,2025,12:03:43,Afternoon,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5
164,2025,12:04:22,Afternoon,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7
165,2025,12:05:31,Afternoon,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5
166,2025,12:06:29,Afternoon,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5
167,2025,12:07:42,Afternoon,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3
168,2025,12:08:21,Afternoon,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3
169,2025,12:08:36,Afternoon,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
170,2025,12:09:11,Afternoon,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4
171,2025,12:09:12,Afternoon,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5
172,2025,12:13:07,Afternoon,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5
173,2025,12:14:26,Afternoon,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
174,2025,12:17:38,Afternoon,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5
175,2025,12:18:07,Afternoon,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
176,2025,12:18:44,Afternoon,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,6
177,2025,12:20:16,Afternoon,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
178,2025,12:23:39,Afternoon,1,3,Astoria,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3
179,2025,12:27:06,Afternoon,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5
180,2025,12:30:46,Afternoon,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5
181,2025,12:30:49,Afternoon,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75
182,2025,12:33:20,Afternoon,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5
183,2025,12:33:35,Afternoon,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5
184,2025,12:35:53,Afternoon,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,4.4
185,2025,12:36:57,Afternoon,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
186,2025,12:38:28,Afternoon,2,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg,6
187,2025,12:42:26,Afternoon,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3
188,2025,12:44:01,Afternoon,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
189,2025,12:44:31,Afternoon,1,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3
190,2025,12:44:32,Afternoon,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5
191,2025,12:45:52,Afternoon,2,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4
192,2025,12:46:22,Afternoon,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
193,2025,12:46:26,Afternoon,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
194,2025,12:46:55,Afternoon,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5
195,2025,12:46:55,Afternoon,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
196,2025,12:48:08,Afternoon,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,7.5
197,2025,12:49:48,Afternoon,1,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3
198,2025,12:50:15,Afternoon,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
199,2025,12:50:28,Afternoon,2,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6
200,2025,12:51:21,Afternoon,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3
201,2025,12:51:57,Afternoon,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75
202,2025,12:51:57,Afternoon,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25
203,2025,12:52:18,Afternoon,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
204,2025,12:52:18,Afternoon,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
205,2025,12:53:11,Afternoon,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5
206,2025,12:53:59,Afternoon,1,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot,3
207,2025,12:55:25,Afternoon,1,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,3
208,2025,12:55:27,Afternoon,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1
209,2025,12:55:27,Afternoon,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
210,2025,12:55:36,Afternoon,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,3
211,2025,12:55:53,Afternoon,2,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg,6
212,2025,12:56:33,Afternoon,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75
213,2025,12:56:59,Afternoon,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,3
214,2025,12:58:54,Afternoon,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5
215,2025,12:59:06,Afternoon,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75
216,2025,13:00:38,Afternoon,2,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,6
217,2025,13:01:33,Afternoon,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
218,2025,13:02:40,Afternoon,1,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg,3
219,2025,13:02:40,Afternoon,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
220,2025,13:02:52,Afternoon,1,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3
221,2025,13:03:13,Afternoon,2,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,6
222,2025,13:04:01,Afternoon,2,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
223,2025,13:04:01,Afternoon,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25
224,2025,13:04:22,Afternoon,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,5
